ID,Fund Name,Date,Cashflow Type,Local Currency,Cashflow Amount Local,Cashflow Amount Base,Base Currency
1,Fund I,30/09/2025 00:00,Investment,GBP,-100000000,-114573786,EUR
2,Fund I,31/12/2025 00:00,Interest,GBP,2500000,2864345,EUR
3,Fund I,31/03/2026 00:00,Interest,GBP,2500000,2864345,EUR
4,Fund I,30/06/2026 00:00,Interest,GBP,2500000,2864345,EUR
5,Fund I,30/09/2026 00:00,Interest,GBP,2500000,2864345,EUR
6,Fund I,31/12/2026 00:00,Interest,GBP,2500000,2864345,EUR
7,Fund I,31/03/2027 00:00,Interest,GBP,2500000,2864345,EUR
8,Fund I,30/06/2027 00:00,Interest,GBP,2500000,2864345,EUR
9,Fund I,30/09/2027 00:00,Interest,GBP,2500000,2864345,EUR
10,Fund I,31/12/2027 00:00,Interest,GBP,2500000,2864345,EUR
11,Fund I,31/03/2028 00:00,Interest,GBP,2500000,2864345,EUR
12,Fund I,30/06/2028 00:00,Interest,GBP,2500000,2864345,EUR
13,Fund I,30/09/2028 00:00,Interest,GBP,2500000,2864345,EUR
14,Fund I,31/12/2028 00:00,Interest,GBP,2500000,2864345,EUR
15,Fund I,31/03/2029 00:00,Interest,GBP,2500000,2864345,EUR
16,Fund I,30/06/2029 00:00,Interest,GBP,2500000,2864345,EUR
17,Fund I,30/09/2029 00:00,Interest,GPB,2500000,2864345,EUR
18,Fund I,31/12/2029 00:00,Interest,GBP,2500000,2864345,EUR
19,Fund I,31/03/2030 00:00,Interest,GBP,2500000,2864345,EUR
20,Fund I,30/06/2030 00:00,Interest,GBP,2500000,2864345,EUR
21,Fund I, 30/09/2030  00:00:00,Principal Repayment,GBP,100000000,114573786,EUR
22,Fund I,30/09/2025 00:00,Investment,EUR,-150000000,-150000000,EUR
23,Fund I,31/12/2025 00:00,Interest,EUR,3000000,3000000,EUR
24,Fund I,31/03/2026 00:00,Interest,EUR,3000000,3000000,EUR
25,Fund I,30/06/2026 00:00,Interest,EUR,3000000,3000000,EUR
26,Fund I,30/09/2026 00:00,Interest,EUR,3000000,3000000,EUR
27,Fund I,31/12/2026 00:00,Interest,EUR,3000000,3000000,EUR
28,Fund I,31/03/2027 00:00,Interest,EUR,3000000,3000000,EUR
29,Fund I,30/06/2027 00:00,Interest,EUR,3000000,3000000,EUR
30,Fund I,30/09/2027 00:00,Interest,EUR,3000000,3000000,EUR
31,Fund I,31/12/2027 00:00,Interest,EUR,3000000,3000000,EUR
32,Fund I,31/03/2028 00:00,Interest,EUR,3000000,3000000,EUR
33,Fund I,30/06/2028 00:00,Interest,EUR,3000000,3000000,EUR
34,Fund I,30/09/2028 00:00,Interest,EUR,3000000,3000000,EUR
35,Fund I,31/12/2028 00:00,Interest,EUR,3000000,3000000,EUR
36,Fund I,31/03/2029 00:00,Interest,EUR,3000000,3000000,EUR
37,Fund I,30/06/2029 00:00,Interest,EUR,3000000,3000000,EUR
38,Fund I,30/09/2029 00:00,Interest,EUR,3000000,3000000,EUR
39,Fund I,31/12/2029 00:00,Interest,EUR,3000000,3000000,EUR
40,Fund I,31/03/2030 00:00,Interest,EUR,3000000,3000000,EUR
41,Fund I,30/06/2030 00:00,Interest,EUR,3000000,3000000,EUR
42,Fund I,30/09/2030 00:00,Principal Repayment,EUR,150000000,150000000,EUR
43,Fund I,30/09/2025 00:00,Investment,USD,-200000000,-170212766,EUR
44,Fund I,31/12/2025 00:00,Interest,USD,6000000,5106383,EUR
45,Fund I,31/03/2026 00:00,Interest,USD,6000000,5106383,EUR
46,Fund I,30/06/2026 00:00,Interest,USD,6000000,5106383,EUR
47,Fund I,30/09/2026 00:00,Interest,USD,6000000,5106383,EUR
48,Fund I,31/12/2026 00:00,Interest,USD,6000000,5106383,EUR
49,Fund I,31/03/2027 00:00,Interest,USD,6000000,5106383,EUR
50,Fund I,30/06/2027 00:00,Interest,USD,6000000,5106383,EUR
51,Fund I,30/09/2027  00:00:00`,Interest,USD,6000000,5106383,EUR
52,Fund I,31/12/2027 00:00,Interest,USD,6000000,5106383,EUR
53,Fund I,31/03/2028 00:00,Interest,USD,6000000,5106383,EUR
54,Fund I,30/06/2028 00:00,Interest,USD,6000000,5106383,EUR
55,Fund I,30/09/2028 00:00,Interest,USD,6000000,5106383,EUR
56,Fund I,31/12/2028 00:00,Interest,USD,6000000,5106383,EUR
57,Fund I,31/03/2029 00:00,Interest,USD,6000000,5106383,EUR
58,Fund I,30/06/2029 00:00,Interest,USD,6000000,5106383,EUR
59,Fund I,30/09/2029 00:00,Interest,USD,6000000,5106383,EUR
60,Fund I,31/12/2029 00:00,Interest,USD,6000000,5106383,EUR
61,Fund I,31/03/2030 00:00,Interest,USD,6000000,5106383,EUR
62,Fund I,30/06/2030 00:00,Interest,USD,6000000,5106383,EUR
63,Fund I,30/09/2030 00:00,Principal Repayment,USD,200000000,170212766,EUR
64,Fund II,30/09/2025 00:00,Investment,GBP,-140000000,-160403300,EUR
65,Fund II,31/12/2025 00:00,Interest,GBP,3500000,4010082,EUR
66,Fund II,31/03/2026 00:00,Interest,GBP,3500000,4010082,EUR
67,Fund II,30/06/2026 00:00,Interest,GBP,3500000,4010082,EUR
68,Fund II,30/09/2026 00:00,Interest,GBP,3500000,4010082,EUR
69,Fund II,31/12/2026 00:00,Interest,GBP,3500000,4010082,EUR
70,Fund II,31/03/2027 00:00,Interest,GBP,3500000,4010082,EUR
71,Fund II,30/06/2027 00:00,Interest,GBP,3500000,4010082,EUR
72,Fund II,30/09/2027 00:00,Interest,GBP,3500000,4010082,EUR
73,Fund II,31/12/2027 00:00,Interest,GBP,3500000,4010082,EUR
74,Fund II,31/03/2028 00:00,Interest,GBP,3500000,4010082,EUR
75,Fund II,30/06/2028 00:00,Interest,GBP,3500000,4010082,EUR
76,Fund II,30/09/2028 00:00,Interest,GBP,3500000,4010082,EUR
77,Fund II,31/12/2028 00:00,Interest,GBP,3500000,4010082,EUR
78,Fund II,31/03/2029 00:00,Interest,GBP,3500000,4010082,EUR
79,Fund II,30/06/2029 00:00,Interest,GBP,3500000,4010082,EUR
80,Fund II,30/09/2029 00:00,Interest,GBP,3500000,4010082,EUR
81,Fund II,31/12/2029 00:00,Interest,GBP,3500000,4010082,EUR
82,Fund II,31/03/2030 00:00,Interest,GBP,3500000,4010082,EUR
83,Fund II,30/06/2030 00:00,Interest,GBP,3500000,4010082,EUR
84,Fund II,30/09/2030 00:00,Principal Repayment,GBP,140000000,160403300,EUR
85,Fund II,30/09/2025 00:00,Investment,EUR,-210000000,-210000000,EUR
86,Fund II,31/12/2025 00:00,Interest,EUR,4200000,4200000,EUR
87,Fund II,31/03/2026 00:00,Interest,EUR,4200000,4200000,EUR
88,Fund II,30/06/2026 00:00,Interest,EUR,4200000,4200000,EUR
89,Fund II,30/09/2026 00:00,Interest,EUR,4200000,4200000,EUR
90,Fund II,31/12/2026 00:00,Interest,EUR,4200000,4200000,EUR
91,Fund II,31/03/2027 00:00,Interest,EUR,4200000,4200000,EUR
92,Fund II,30/06/2027 00:00,Interest,EUR,4200000,4200000,EUR
93,Fund II,30/09/2027 00:00,Interest,EUR,4200000,4200000,EUR
